cytokine,environment,pbmc,time,donor,value
CD25,Basal,Resting,48,1.0,169.253987015874
CD25,Basal,Resting,48,2.0,169.253987015874
CD25,Basal,Resting,48,3.0,136.038698588224
CD25,Basal,Resting,48,4.0,168.213860822455
CD25,Basal,Resting,96,1.0,27.6960736768365
CD25,Basal,Resting,96,2.0,25.7740293737561
CD25,Basal,Resting,96,3.0,16.5292774374823
CD25,Basal,Resting,96,4.0,17.9632476489152
CD25,Inflammatory,Activated,24,1.0,136.540126127911
CD25,Inflammatory,Activated,24,2.0,52.2215966496528
CD25,Inflammatory,Activated,24,3.0,78.3768825371929
CD25,Inflammatory,Activated,24,4.0,0.986816559295095
CD25,Inflammatory,Activated,48,1.0,160.964215275013
CD25,Inflammatory,Activated,48,2.0,213.893512444044
CD25,Inflammatory,Activated,48,3.0,108.962386663935
CD25,Inflammatory,Activated,48,4.0,126.076774932204
CD25,Inflammatory,Activated,96,1.0,109.928934446578
CD25,Inflammatory,Activated,96,2.0,165.100144566861
CD25,Inflammatory,Activated,96,3.0,201.491406836435
CD25,Inflammatory,Activated,96,4.0,167.174842431642
CD25,Inflammatory,None,24,,17.462703954288052
CD25,Inflammatory,None,48,,17.072380876573327
CD25,Inflammatory,None,96,,16.33740349182094
CD25,Inflammatory,Resting,24,1.0,13.3760198437179
CD25,Inflammatory,Resting,24,2.0,14.0674822807077
CD25,Inflammatory,Resting,24,3.0,15.8195337269741
CD25,Inflammatory,Resting,24,4.0,78.834408199518
CD25,Inflammatory,Resting,48,1.0,20.1484757884243
CD25,Inflammatory,Resting,48,2.0,25.7740293737561
CD25,Inflammatory,Resting,48,3.0,18.6872084034299
CD25,Inflammatory,Resting,48,4.0,23.1214165064016
CD25,Inflammatory,Resting,96,1.0,26.1566649328929
CD25,Inflammatory,Resting,96,2.0,22.3721251239645
CD25,Inflammatory,Resting,96,3.0,13.032384741607
CD25,Inflammatory,Resting,96,4.0,14.4152625181417
CXCL-9,Basal,Activated,24,1.0,221.218932943638
CXCL-9,Basal,Activated,24,2.0,167.067489602012
CXCL-9,Basal,Activated,24,3.0,373.225749918795
CXCL-9,Basal,Activated,24,4.0,653.740855831884
CXCL-9,Basal,Activated,48,1.0,362.395610713018
