time,sample,environment,condition,cell_type,dist_pct,count
24,6,Inflammatory,Activated,PBMC,25,51
24,6,Inflammatory,Activated,PBMC,35,61
24,6,Inflammatory,Activated,PBMC,45,95
24,6,Inflammatory,Activated,PBMC,55,116
24,6,Inflammatory,Activated,PBMC,65,227
24,6,Inflammatory,Activated,PBMC,75,347
24,6,Inflammatory,Activated,PBMC,85,356
24,6,Inflammatory,Activated,PBMC,95,66
24,6,Inflammatory,Activated,PBMC,105,2
24,6,Inflammatory,Activated,PBMC,115,2
24,6,Inflammatory,Activated,PBMC,125,3
48,1,Basal,Control,MRC5,5,1
48,1,Basal,Control,MRC5,15,5
48,1,Basal,Control,MRC5,25,6
48,1,Basal,Control,MRC5,35,10
48,1,Basal,Control,MRC5,45,23
48,1,Basal,Control,MRC5,55,18
48,1,Basal,Control,MRC5,65,24
48,1,Basal,Control,MRC5,75,24
48,1,Basal,Control,MRC5,85,23
48,1,Basal,Control,MRC5,95,15
48,1,Basal,Control,MRC5,105,5
48,1,Basal,Control,MRC5,115,2
48,1,Basal,Control,MRC5,125,0
48,1,Basal,Control,A549,5,4
48,1,Basal,Control,A549,15,13
48,1,Basal,Control,A549,25,16
48,1,Basal,Control,A549,35,36
48,1,Basal,Control,A549,45,41
48,1,Basal,Control,A549,55,50
48,1,Basal,Control,A549,65,59
48,1,Basal,Control,A549,75,65
48,1,Basal,Control,A549,85,63
48,1,Basal,Control,A549,95,70
48,1,Basal,Control,A549,105,28
48,1,Basal,Control,A549,115,5
48,1,Basal,Control,A549,125,4
48,2,Basal,Resting,MRC5,5,3
48,2,Basal,Resting,MRC5,15,9
48,2,Basal,Resting,MRC5,25,15
48,2,Basal,Resting,MRC5,35,20
48,2,Basal,Resting,MRC5,45,20
48,2,Basal,Resting,MRC5,55,24
48,2,Basal,Resting,MRC5,65,25
48,2,Basal,Resting,MRC5,75,40
48,2,Basal,Resting,MRC5,85,40
48,2,Basal,Resting,MRC5,95,7
48,2,Basal,Resting,MRC5,105,4
48,2,Basal,Resting,MRC5,115,1
48,2,Basal,Resting,MRC5,125,0
48,2,Basal,Resting,A549,5,5
48,2,Basal,Resting,A549,15,14
48,2,Basal,Resting,A549,25,22
48,2,Basal,Resting,A549,35,32
48,2,Basal,Resting,A549,45,40
48,2,Basal,Resting,A549,55,50
48,2,Basal,Resting,A549,65,54
48,2,Basal,Resting,A549,75,85
48,2,Basal,Resting,A549,85,109
48,2,Basal,Resting,A549,95,104
48,2,Basal,Resting,A549,105,40
48,2,Basal,Resting,A549,115,4
48,2,Basal,Resting,A549,125,1
48,2,Basal,Resting,PBMC,5,10
48,2,Basal,Resting,PBMC,15,30
48,2,Basal,Resting,PBMC,25,46
48,2,Basal,Resting,PBMC,35,69
48,2,Basal,Resting,PBMC,45,84
48,2,Basal,Resting,PBMC,55,98
48,2,Basal,Resting,PBMC,65,119
48,2,Basal,Resting,PBMC,75,115
48,2,Basal,Resting,PBMC,85,170
48,2,Basal,Resting,PBMC,95,140
48,2,Basal,Resting,PBMC,105,54
48,2,Basal,Resting,PBMC,115,1
48,2,Basal,Resting,PBMC,125,0
48,3,Basal,Activated,MRC5,5,0
48,3,Basal,Activated,MRC5,15,1
48,3,Basal,Activated,MRC5,25,4
48,3,Basal,Activated,MRC5,35,10
48,3,Basal,Activated,MRC5,45,16
48,3,Basal,Activated,MRC5,55,22
48,3,Basal,Activated,MRC5,65,24
48,3,Basal,Activated,MRC5,75,33
48,3,Basal,Activated,MRC5,85,23
48,3,Basal,Activated,MRC5,95,11
48,3,Basal,Activated,MRC5,105,7
48,3,Basal,Activated,MRC5,115,0
48,3,Basal,Activated,MRC5,125,0
48,3,Basal,Activated,A549,5,3
48,3,Basal,Activated,A549,15,19
48,3,Basal,Activated,A549,25,25
48,3,Basal,Activated,A549,35,49
48,3,Basal,Activated,A549,45,72
48,3,Basal,Activated,A549,55,94
48,3,Basal,Activated,A549,65,131
